Month,Temp_mean,Sal_mean,Pres_mean
Jan,15.658359424028223,35.857128070369704,379.1477078277635
Feb,16.16908721777787,35.86150179457644,345.9837318718416
Mar,15.529191725324877,35.83265796384402,380.61020201755434
Apr,15.05309737678159,35.71728593717031,387.7658846004682
May,14.69888358654803,35.70298853910382,409.5543781585688
Jun,14.63646607399802,35.650008135890324,401.99976510674674
Jul,14.520522445772011,35.66786881308843,414.8706497156487
Aug,14.49262380127166,35.586341425026774,398.16916045869397
Sep,14.230029523724864,35.60357296589599,411.89256326882156
Oct,13.891125175773833,35.58373284936829,418.8455711995379
Nov,14.062021622840259,35.60327989977066,410.2676536722178
